ds,yhat,yhat_lower,yhat_upper
2021-01-03,1573.8450548971437,1550.177756737031,1598.393635722103
2021-01-10,2763.0567184203937,2738.9354913292973,2787.7223139945813
2021-01-17,2585.8990971938274,2561.6191166298913,2610.1236885988014
2021-01-24,2471.862504205284,2447.2903610941103,2495.967615060852
2021-01-31,2704.3101603914993,2679.742555684426,2730.8695761233207
2021-02-07,3061.5874299644265,3036.999874397307,3084.1352628010955
2021-02-14,3088.487580312825,3065.981019074298,3113.3112878863158
2021-02-21,2854.1174281056788,2830.882613761673,2877.4490219376225
2021-02-28,2912.623185488863,2888.2094725451584,2935.0033732648985
2021-03-07,3334.455481791093,3309.2053216875297,3358.9971435474217
2021-03-14,3520.9100793544717,3497.9984756312188,3544.035060681146
2021-03-21,3256.4815031858943,3233.7997186975927,3279.6002583821924
2021-03-28,3149.7999485941577,3127.078475214651,3173.8303877934522
2021-04-04,3544.0442801410445,3522.412091798787,3568.148367809849
2021-04-11,3835.5739785030314,3811.1548980217635,3859.817874353102
2021-04-18,3651.813531810738,3630.7587253056026,3675.223029940899
2021-04-25,3546.3782524641606,3522.342400784471,3569.6932057325716
2021-05-02,2598.8776113587974,2574.7105479513048,2621.240541141864
2021-05-09,-3789.4893269012086,-3813.849067559263,-3765.08289816854
2021-05-16,-19196.529299468137,-19217.564653394013,-19171.515219962024
2021-05-23,-35966.16309592778,-35991.27026742023,-35943.64081378555
2021-05-30,-33296.38213066276,-33321.35666838089,-33271.9753276223
2021-06-06,5157.500978259871,5135.04798265389,5181.693729045277
2021-06-13,65792.94926245304,65769.11929912608,65817.91945488412
2021-06-20,102315.35672485342,102291.48108563565,102338.10156467202
2021-06-27,71708.76220493803,71685.87704426338,71732.06823655948
2021-07-04,-17980.54364593199,-18004.93396211763,-17956.21488122822
2021-07-11,-99988.87241001791,-100011.69039220577,-99964.8185894526
2021-07-18,-102414.78652484242,-102439.5066507218,-102389.58218965032
2021-07-25,-19223.575524986853,-19248.681697016647,-19200.535834579292
